sensor_id,capture_time,sensor_id,air_temperature,light,soil_moisture
105933,2016-04-04 16:02:39 UTC,37,774,44223,374
105933,2016-04-04 15:47:39 UTC,37,775,41752,376
105933,2016-04-04 15:32:39 UTC,37,775,30307,377
105933,2016-04-04 15:17:39 UTC,37,776,25741,368
105933,2016-04-04 15:02:39 UTC,37,776,16426,368
105933,2016-04-04 14:47:39 UTC,37,776,16299,380
105933,2016-04-04 14:32:39 UTC,37,776,12067,378
105933,2016-04-04 14:17:39 UTC,37,776,12660,376
105933,2016-04-04 14:02:39 UTC,37,775,8068,374
105933,2016-04-04 13:47:39 UTC,37,773,7847,376
105933,2016-04-04 13:32:39 UTC,37,773,8767,380
105933,2016-04-04 13:17:39 UTC,37,770,7385,378
105933,2016-04-04 13:02:39 UTC,37,768,13463,379
105933,2016-04-04 12:47:39 UTC,37,769,8146,370
105933,2016-04-04 12:32:39 UTC,37,767,13201,371
105933,2016-04-04 12:17:39 UTC,37,765,10683,380
105933,2016-04-04 12:02:39 UTC,37,763,8831,375
105933,2016-04-04 11:47:39 UTC,37,755,14920,383
105933,2016-04-04 11:32:39 UTC,37,752,13581,378
105933,2016-04-04 11:17:39 UTC,37,744,6811,380
105933,2016-04-04 11:02:39 UTC,37,741,5846,378
105933,2016-04-04 10:47:39 UTC,37,737,8310,370
105933,2016-04-04 10:32:39 UTC,37,739,9941,384
105933,2016-04-04 10:17:39 UTC,37,739,8791,381
105933,2016-04-04 10:02:39 UTC,37,740,6780,379
105933,2016-04-04 09:47:39 UTC,37,742,7898,374
105933,2016-04-04 09:32:39 UTC,37,745,6817,385
105933,2016-04-04 09:17:39 UTC,37,746,8553,371
105933,2016-04-04 09:02:39 UTC,37,741,7546,383
105933,2016-04-04 08:47:39 UTC,37,739,5891,377
105933,2016-04-04 08:32:39 UTC,37,740,13981,379
105933,2016-04-04 08:17:39 UTC,37,748,7158,382
105933,2016-04-04 08:02:39 UTC,37,745,3554,384
105933,2016-04-04 07:47:39 UTC,37,752,9141,377
105933,2016-04-04 07:32:39 UTC,37,758,12214,370
105933,2016-04-04 07:17:39 UTC,37,774,3647,382
105933,2016-04-04 07:02:39 UTC,37,763,10437,381
105933,2016-04-04 06:47:39 UTC,37,759,12547,385
105933,2016-04-04 06:32:39 UTC,37,755,3863,373
105933,2016-04-04 06:17:39 UTC,37,752,8038,385
105933,2016-04-04 06:02:39 UTC,37,754,25393,381
105933,2016-04-04 05:47:39 UTC,37,754,5294,380
105933,2016-04-04 05:32:39 UTC,37,748,23293,380
105933,2016-04-04 05:17:39 UTC,37,745,53223,372
105933,2016-04-04 05:02:39 UTC,37,746,12572,377
105933,2016-04-04 04:47:39 UTC,37,745,28901,382
105933,2016-04-04 04:32:39 UTC,37,741,65535,380
105933,2016-04-04 04:17:39 UTC,37,742,65535,381
105933,2016-04-04 04:02:39 UTC,37,744,65535,383
105933,2016-04-04 03:47:39 UTC,37,744,65535,382
105933,2016-04-04 03:32:39 UTC,37,744,65535,384
105933,2016-04-04 03:17:39 UTC,37,743,65535,386
105933,2016-04-04 03:02:39 UTC,37,741,65535,385
105933,2016-04-04 02:47:39 UTC,37,741,65535,381
105933,2016-04-04 02:32:39 UTC,37,741,65535,381
105933,2016-04-04 02:17:39 UTC,37,743,65535,382
105933,2016-04-04 02:02:39 UTC,37,742,65535,384
105933,2016-04-04 01:47:39 UTC,37,739,65535,375
105933,2016-04-04 01:32:39 UTC,37,738,65535,382
105933,2016-04-04 01:17:39 UTC,37,739,65535,374
105933,2016-04-04 01:02:39 UTC,37,739,65535,385
105933,2016-04-04 00:47:39 UTC,37,740,65535,379
105933,2016-04-04 00:32:39 UTC,37,741,65535,382
105933,2016-04-04 00:17:39 UTC,37,743,65535,375
105933,2016-04-04 00:02:39 UTC,37,749,65535,379
105933,2016-04-03 23:47:39 UTC,37,752,65535,377
105933,2016-04-03 23:32:39 UTC,37,752,65535,383
105933,2016-04-03 23:17:39 UTC,37,747,65535,383
105933,2016-04-03 23:02:39 UTC,37,743,65535,377
105933,2016-04-03 22:47:39 UTC,37,738,65535,383
105933,2016-04-03 22:32:39 UTC,37,739,65535,381
105933,2016-04-03 22:17:39 UTC,37,739,65535,380
105933,2016-04-03 22:02:39 UTC,37,744,65535,383
105933,2016-04-03 21:47:39 UTC,37,756,65535,384
105933,2016-04-03 21:32:39 UTC,37,762,65535,384
105933,2016-04-03 21:17:39 UTC,37,766,65535,383
105933,2016-04-03 21:02:39 UTC,37,766,65535,381
105933,2016-04-03 20:47:39 UTC,37,765,65535,378
105933,2016-04-03 20:32:39 UTC,37,765,65535,384
105933,2016-04-03 20:17:39 UTC,37,767,65535,383
105933,2016-04-03 20:02:39 UTC,37,767,65535,383
105933,2016-04-03 19:47:39 UTC,37,768,65535,387
105933,2016-04-03 19:32:39 UTC,37,768,65535,380
105933,2016-04-03 19:17:39 UTC,37,767,65535,380
105933,2016-04-03 19:02:39 UTC,37,769,65535,387
105933,2016-04-03 18:47:39 UTC,37,776,65535,386
105933,2016-04-03 18:32:39 UTC,37,778,65535,377
105933,2016-04-03 18:17:39 UTC,37,765,65535,387
105933,2016-04-03 18:02:39 UTC,37,765,65535,374
105933,2016-04-03 17:47:39 UTC,37,767,65535,376
105933,2016-04-03 17:32:39 UTC,37,766,65535,389
105933,2016-04-03 17:17:39 UTC,37,768,65535,375
105933,2016-04-03 17:02:39 UTC,37,754,65535,381
105933,2016-04-03 16:47:39 UTC,37,736,65535,385
105933,2016-04-03 16:32:39 UTC,37,740,65535,384
105933,2016-04-03 16:17:39 UTC,37,739,65535,381
105933,2016-04-03 16:02:39 UTC,37,743,65182,384
105933,2016-04-03 15:47:39 UTC,37,745,37005,377
105933,2016-04-03 15:32:39 UTC,37,746,31744,385
105933,2016-04-03 15:17:39 UTC,37,747,26675,389
105933,2016-04-03 15:02:39 UTC,37,748,28510,385
105933,2016-04-03 14:47:39 UTC,37,745,36463,375
105933,2016-04-03 14:32:39 UTC,37,745,22460,376
105933,2016-04-03 14:17:39 UTC,37,749,17122,383
105933,2016-04-03 14:02:39 UTC,37,758,8480,382
105933,2016-04-03 13:47:39 UTC,37,753,11763,382
105933,2016-04-03 13:32:39 UTC,37,753,14591,386
105933,2016-04-03 13:17:39 UTC,37,757,10808,381
105933,2016-04-03 13:02:39 UTC,37,759,7774,387
105933,2016-04-03 12:47:39 UTC,37,756,8569,382
105933,2016-04-03 12:32:39 UTC,37,763,6827,376
105933,2016-04-03 12:17:39 UTC,37,757,7874,386
105933,2016-04-03 12:02:39 UTC,37,756,6998,389
105933,2016-04-03 11:47:39 UTC,37,772,6192,376
105933,2016-04-03 11:32:39 UTC,37,787,6775,385
105933,2016-04-03 11:17:39 UTC,37,784,6837,383
105933,2016-04-03 11:02:39 UTC,37,779,13005,389
105933,2016-04-03 10:47:39 UTC,37,778,9714,391
105933,2016-04-03 10:32:39 UTC,37,774,9746,383
105933,2016-04-03 10:17:39 UTC,37,773,14861,387
105933,2016-04-03 10:02:39 UTC,37,771,9244,389
105933,2016-04-03 09:47:39 UTC,37,771,9581,387
105933,2016-04-03 09:32:39 UTC,37,776,10352,378
105933,2016-04-03 09:17:39 UTC,37,772,7195,391
105933,2016-04-03 09:02:39 UTC,37,776,11084,388
105933,2016-04-03 08:47:39 UTC,37,771,8914,388
105933,2016-04-03 08:32:39 UTC,37,766,9070,379
105933,2016-04-03 08:17:39 UTC,37,770,8449,388
105933,2016-04-03 08:02:39 UTC,37,758,9110,380
105933,2016-04-03 07:47:39 UTC,37,765,7914,379
105933,2016-04-03 07:32:39 UTC,37,790,7052,380
105933,2016-04-03 07:17:39 UTC,37,816,2291,380
105933,2016-04-03 07:02:39 UTC,37,842,438,391
105933,2016-04-03 06:47:39 UTC,37,807,1928,382
105933,2016-04-03 06:32:39 UTC,37,799,2355,393
105933,2016-04-03 06:17:39 UTC,37,788,2434,378
105933,2016-04-03 06:02:39 UTC,37,763,2563,391
105933,2016-04-03 05:47:39 UTC,37,746,7544,383
105933,2016-04-03 05:32:39 UTC,37,744,8919,389
105933,2016-04-03 05:17:39 UTC,37,743,10384,393
105933,2016-04-03 05:02:39 UTC,37,741,16069,385
105933,2016-04-03 04:47:39 UTC,37,738,14628,385
105933,2016-04-03 04:32:39 UTC,37,736,31433,391
105933,2016-04-03 04:17:39 UTC,37,736,52526,391
105933,2016-04-03 04:02:39 UTC,37,736,65535,379
105933,2016-04-03 03:47:39 UTC,37,736,65535,386
105933,2016-04-03 03:32:39 UTC,37,736,65535,390
105933,2016-04-03 03:17:39 UTC,37,736,65535,389
105933,2016-04-03 03:02:39 UTC,37,735,65535,379
105933,2016-04-03 02:47:39 UTC,37,735,65535,389
105933,2016-04-03 02:32:39 UTC,37,734,65535,391
105933,2016-04-03 02:17:39 UTC,37,734,65535,387
105933,2016-04-03 02:02:39 UTC,37,733,65535,390
105933,2016-04-03 01:47:39 UTC,37,734,65535,389
105933,2016-04-03 01:32:39 UTC,37,734,65535,386
105933,2016-04-03 01:17:39 UTC,37,735,65535,391
105933,2016-04-03 01:02:39 UTC,37,735,65535,391
105933,2016-04-03 00:47:39 UTC,37,737,65535,387
105933,2016-04-03 00:32:39 UTC,37,734,65535,383
105933,2016-04-03 00:17:39 UTC,37,735,65535,381
105933,2016-04-03 00:02:39 UTC,37,736,65535,391
105933,2016-04-02 23:47:39 UTC,37,737,65535,381
105933,2016-04-02 23:32:39 UTC,37,738,65535,388
105933,2016-04-02 23:17:39 UTC,37,738,65535,393
105933,2016-04-02 23:02:39 UTC,37,740,65535,384
105933,2016-04-02 22:47:39 UTC,37,740,65535,387
105933,2016-04-02 22:32:39 UTC,37,745,65535,391
105933,2016-04-02 22:17:39 UTC,37,734,65535,394
105933,2016-04-02 22:02:39 UTC,37,738,65535,394
105933,2016-04-02 21:47:39 UTC,37,743,65535,388
105933,2016-04-02 21:32:39 UTC,37,738,65535,382
105933,2016-04-02 21:17:39 UTC,37,736,65535,383
105933,2016-04-02 21:02:39 UTC,37,737,65535,393
105933,2016-04-02 20:47:39 UTC,37,739,65535,383
105933,2016-04-02 20:32:39 UTC,37,739,65535,381
105933,2016-04-02 20:17:39 UTC,37,739,65535,389
105933,2016-04-02 20:02:39 UTC,37,738,65535,389
105933,2016-04-02 19:47:39 UTC,37,738,65535,391
105933,2016-04-02 19:32:39 UTC,37,737,65535,381
105933,2016-04-02 19:17:39 UTC,37,738,65535,387
105933,2016-04-02 19:02:39 UTC,37,737,65535,394
105933,2016-04-02 18:47:39 UTC,37,738,65535,391
105933,2016-04-02 18:32:39 UTC,37,736,65535,395
105933,2016-04-02 18:17:39 UTC,37,736,65535,387
105933,2016-04-02 18:02:39 UTC,37,737,65535,392
105933,2016-04-02 17:47:39 UTC,37,740,65535,387
105933,2016-04-02 17:32:39 UTC,37,735,65535,390
105933,2016-04-02 17:17:39 UTC,37,730,65535,395
105933,2016-04-02 17:02:41 UTC,37,726,65535,393
105933,2016-04-02 16:47:41 UTC,37,724,65535,392
105933,2016-04-02 16:32:41 UTC,37,738,65535,393
105933,2016-04-02 16:17:41 UTC,37,736,65535,394
105933,2016-04-02 16:02:41 UTC,37,736,65535,399
105933,2016-04-02 15:47:41 UTC,37,734,65535,388
105933,2016-04-02 15:32:41 UTC,37,732,65535,396
105933,2016-04-02 15:17:41 UTC,37,732,56219,395
105933,2016-04-02 15:02:41 UTC,37,736,65535,386
105933,2016-04-02 14:47:41 UTC,37,735,49620,400
105933,2016-04-02 14:32:41 UTC,37,737,40554,396
105933,2016-04-02 14:17:41 UTC,37,736,36820,386
105933,2016-04-02 14:02:41 UTC,37,735,27716,390
105933,2016-04-02 13:47:41 UTC,37,733,31172,396
105933,2016-04-02 13:32:41 UTC,37,733,29703,395
105933,2016-04-02 13:17:41 UTC,37,732,28234,395
105933,2016-04-02 13:02:41 UTC,37,731,26980,396
105933,2016-04-02 12:47:41 UTC,37,732,23991,398
105933,2016-04-02 12:32:41 UTC,37,734,21944,394
105933,2016-04-02 12:17:41 UTC,37,732,24703,395
105933,2016-04-02 12:02:41 UTC,37,727,17539,398
105933,2016-04-02 11:47:41 UTC,37,724,7790,395
105933,2016-04-02 11:32:41 UTC,37,720,12757,396
105933,2016-04-02 11:17:41 UTC,37,722,6867,397
105933,2016-04-02 11:02:41 UTC,37,716,9282,390
105933,2016-04-02 10:47:41 UTC,37,723,8421,398
105933,2016-04-02 10:32:41 UTC,37,725,9003,398
105933,2016-04-02 10:17:41 UTC,37,725,7707,399
105933,2016-04-02 10:02:41 UTC,37,725,7309,396
105933,2016-04-02 09:47:41 UTC,37,724,7328,398
105933,2016-04-02 09:32:41 UTC,37,723,6853,391
105933,2016-04-02 09:17:41 UTC,37,725,9981,392
105933,2016-04-02 09:02:41 UTC,37,726,8646,394
